Time,1,2,3,4,5,6
04/01/18 04,11.2668,9.31695,12.35005,84.30038333333333,219.58368333333334,134.33381666666665
04/01/18 05,9.533383333333335,7.366783333333332,0.21669999999999998,81.2668,252.66668333333334,200.28346666666667
04/01/18 06,0.0,0.0,0.0,61.784000000000006,291.8834833333333,244.88345
04/01/18 07,0.0,0.0,0.0,121.01703333333332,358.4174666666667,237.55028333333334
04/01/18 08,0.0,0.0,0.0,134.4167833333333,364.08388333333335,270.0
04/01/18 09,0.0,0.0,0.0,88.25025000000001,375.51741666666663,270.0
04/01/18 10,0.0,0.0,0.0,135.0,349.7506333333333,270.0
04/01/18 11,0.0,0.0,0.0,135.0,362.83408333333335,270.0009
04/01/18 12,0.0004833333333333334,0.0024000000000000002,0.0016,135.0,307.03424999999993,270.0020166666667
04/01/18 13,2.9352166666666673,0.0027166666666666667,0.0025333333333333336,135.0,299.85035,311.2015333333333
04/01/18 14,0.26681666666666665,0.0006166666666666667,0.00048333333333333334,135.0,294.65145,305.00241666666665
