Battery 1,Battery 2,Battery 3,Battery 4
98.05850354942528,95.69593318007662,100.0,98.18481195402299
78.84136366896551,89.92871831417624,96.89300873563218,93.97529195402299
72.2990325121839,83.15088613026819,91.9360153256705,89.01829854406131
72.2990276079724,76.24991892720305,85.83426099616858,82.9165442145594
72.2990276079724,68.51262712643677,80.10282712643678,77.18511034482759
72.2990276079724,60.5757849808429,74.57933731800766,71.66162053639847
72.2990276079724,54.60430436781608,69.96466114942528,67.0469443678161
72.2990276079724,50.103641226053625,65.79343463601532,62.87571785440613
72.2990276079724,46.52099478927202,62.48815954022988,59.57044275862069
72.2990276079724,42.83591770114941,58.232363065134095,55.31464628352491
72.2990276079724,38.672075708812244,54.03771892720306,51.12000214559387
72.2990276079724,34.59589624521071,49.10683141762451,46.189114636015326
72.29902132445056,30.43343831417623,44.75555938697317,41.83784260536398
67.52172415571494,26.239561992337148,40.634174406130256,37.71645762452107
35.09082974651953,21.766754176245193,35.979455325670486,33.0617385440613
17.340508017783897,17.962751877394616,33.37712413793102,30.971591264367813
39.915451118473555,18.335920766283508,35.35714084291186,34.50195279693486
81.20134994881839,24.91244321839079,44.148944061302664,45.7158249808429
100.0,54.83311302590651,57.59194038314175,61.1330741762452
100.0,59.24140904460383,72.03278620689653,69.477828045977
100.0,79.21122748720919,86.09777088122603,77.48718053639845
100.0,99.57165522799079,98.09237517241377,100.0
100.0,100.0,100.0,100.0
100.0,99.31538145593869,100.0,100.0
100.0,96.89330927203065,100.0,99.29424490421457
82.78146754942529,91.39243233716475,97.07462651340997,95.229101302682
70.4722491954023,84.97736827586206,91.59422544061303,89.74870022988506
68.7862633691954,77.47552720306513,84.47080720306514,82.62528199233716
68.7862633691954,70.21424183908044,77.43576781609195,75.59024260536398
68.7862633691954,62.729967816091936,70.9070922605364,69.06156704980843
68.7862633691954,56.5917359386973,64.30301639846743,62.457491187739464
68.7862633691954,51.379346973180056,60.18157256704981,58.33604735632184
68.7862633691954,47.97525272030649,57.20962896551725,55.36410375478928
68.7862633691954,44.25462191570879,54.027700842911884,52.18217563218391
68.7862633691954,39.97170191570879,50.49696643678161,48.65144122605364
